,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
175,2019-12-30 04:00:00,38.39,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
176,2019-12-30 03:45:00,38.26,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
177,2019-12-30 03:30:00,38.444,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
178,2019-12-30 03:15:00,38.339,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
179,2019-12-30 03:00:00,38.336,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
180,2019-12-30 02:45:00,38.353,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
181,2019-12-30 02:30:00,38.33,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
182,2019-12-30 02:15:00,38.432,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
183,2019-12-30 02:00:00,38.323,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
184,2019-12-30 01:45:00,38.224,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
185,2019-12-30 01:30:00,38.335,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
186,2019-12-30 01:15:00,38.327,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
187,2019-12-30 01:00:00,38.292,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
188,2019-12-30 00:45:00,38.376,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
189,2019-12-30 00:30:00,38.469,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
190,2019-12-30 00:15:00,38.368,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
191,2019-12-30 00:00:00,38.398,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
192,2019-12-29 23:45:00,38.634,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
193,2019-12-29 23:30:00,38.717,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
194,2019-12-29 23:15:00,38.806,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
195,2019-12-29 23:00:00,38.613,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
196,2019-12-29 22:45:00,38.465,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
